client_acc,client_loss,communication_time,compute_time,domain,global_acc,global_loss,mnist_acc,mnist_loss,mode,model,rank,round,round_time,server_communication_time,svhn_acc,svhn_loss,total_time,usps_acc,usps_loss
0.1125,2.3021368980407715,15.843264477000048,0.7910953199998403,mnist,0.09375,2.3042730217178664,0.08203125,2.3066109865903854,mpi_sync,lenet5,1,1,23.399898132999624,19.558294206999562,0.1015625,2.3047016113996506,23.39991014499992,0.09765625,2.3015064671635628
0.0875,2.3084505558013917,15.392832486999396,0.9064193500007605,svhn,0.09375,2.3042730217178664,0.08203125,2.3066109865903854,mpi_sync,lenet5,2,1,23.399898132999624,19.558294206999562,0.1015625,2.3047016113996506,23.39991014499992,0.09765625,2.3015064671635628
0.05,2.3146541595458983,16.96958423599972,1.299433224000495,usps,0.09375,2.3042730217178664,0.08203125,2.3066109865903854,mpi_sync,lenet5,3,1,23.399898132999624,19.558294206999562,0.1015625,2.3047016113996506,23.39991014499992,0.09765625,2.3015064671635628
0.0875,2.299386739730835,0.005444772999908309,0.6868357840003227,mnist,0.09375,2.3037838637828827,0.08203125,2.3059987276792526,mpi_sync,lenet5,1,2,3.9953557620001448,0.8027790230007668,0.1015625,2.3042392507195473,27.40397419800047,0.09765625,2.301113612949848
0.05,2.3132386207580566,0.006514567999147403,0.7497024880003664,svhn,0.09375,2.3037838637828827,0.08203125,2.3059987276792526,mpi_sync,lenet5,2,2,3.9953557620001448,0.8027790230007668,0.1015625,2.3042392507195473,27.40397419800047,0.09765625,2.301113612949848
0.0875,2.310116243362427,0.00629561699952319,0.7422514050003883,usps,0.09375,2.3037838637828827,0.08203125,2.3059987276792526,mpi_sync,lenet5,3,2,3.9953557620001448,0.8027790230007668,0.1015625,2.3042392507195473,27.40397419800047,0.09765625,2.301113612949848
0.1125,2.3021368980407715,3.6860603499990248,0.15159564100031275,mnist,0.09375,2.3042730217178664,0.08203125,2.3066109865903854,mpi_sync,lenet5,1,1,4.907344712999475,4.333248753000589,0.1015625,2.3047016113996506,4.907353759999751,0.09765625,2.3015064671635628
0.0875,2.3084505558013917,3.7144750709994696,0.1523733119993267,svhn,0.09375,2.3042730217178664,0.08203125,2.3066109865903854,mpi_sync,lenet5,2,1,4.907344712999475,4.333248753000589,0.1015625,2.3047016113996506,4.907353759999751,0.09765625,2.3015064671635628
0.05,2.3146541595458983,3.580672809999669,0.08425321300092037,usps,0.09375,2.3042730217178664,0.08203125,2.3066109865903854,mpi_sync,lenet5,3,1,4.907344712999475,4.333248753000589,0.1015625,2.3047016113996506,4.907353759999751,0.09765625,2.3015064671635628
0.0875,2.299386739730835,0.004321925998738152,0.08380310500069754,mnist,0.09375,2.3037838637828827,0.08203125,2.3059987276792526,mpi_sync,lenet5,1,2,0.5417740299999423,0.11368663199937146,0.1015625,2.3042392507195473,5.449662302999059,0.09765625,2.301113612949848
0.05,2.3132386207580566,0.002991155999552575,0.08395259600001737,svhn,0.09375,2.3037838637828827,0.08203125,2.3059987276792526,mpi_sync,lenet5,2,2,0.5417740299999423,0.11368663199937146,0.1015625,2.3042392507195473,5.449662302999059,0.09765625,2.301113612949848
0.0875,2.310116243362427,0.002653301999089308,0.0800072279998858,usps,0.09375,2.3037838637828827,0.08203125,2.3059987276792526,mpi_sync,lenet5,3,2,0.5417740299999423,0.11368663199937146,0.1015625,2.3042392507195473,5.449662302999059,0.09765625,2.301113612949848
