client_acc,client_loss,communication_time,compute_time,domain,global_acc,global_loss,mnist_acc,mnist_loss,mode,model,rank,round,round_time,server_communication_time,svhn_acc,svhn_loss,total_time,usps_acc,usps_loss
0.1125,2.302136993408203,2.6825185859997873,0.10434917099973973,mnist,0.09375,2.3042730167508125,0.08203125,2.3066110014915466,mpi_sync,lenet5,1,1,3.2786768160003703,3.037108046999492,0.1015625,2.3047016113996506,3.278688774999864,0.09765625,2.3015064373612404
0.0875,2.3084506034851073,2.712673666000228,0.13004741199983982,svhn,0.09375,2.3042730167508125,0.08203125,2.3066110014915466,mpi_sync,lenet5,2,1,3.2786768160003703,3.037108046999492,0.1015625,2.3047016113996506,3.278688774999864,0.09765625,2.3015064373612404
0.05,2.3146541595458983,2.6544748230007826,0.12970512899937603,usps,0.09375,2.3042730167508125,0.08203125,2.3066110014915466,mpi_sync,lenet5,3,1,3.2786768160003703,3.037108046999492,0.1015625,2.3047016113996506,3.278688774999864,0.09765625,2.3015064373612404
0.0875,2.2993867874145506,0.0011323040007482632,0.03657970399945043,mnist,0.09375,2.303783841431141,0.08203125,2.3059986904263496,mpi_sync,lenet5,1,2,0.5733179569997446,0.13470012300058443,0.1015625,2.304239235818386,3.852207267999802,0.09765625,2.301113598048687
0.05,2.3132386207580566,0.003369243999259197,0.10419488400020782,svhn,0.09375,2.303783841431141,0.08203125,2.3059986904263496,mpi_sync,lenet5,2,2,0.5733179569997446,0.13470012300058443,0.1015625,2.304239235818386,3.852207267999802,0.09765625,2.301113598048687
0.0875,2.310116243362427,0.0017747439997037873,0.042863373000727734,usps,0.09375,2.303783841431141,0.08203125,2.3059986904263496,mpi_sync,lenet5,3,2,0.5733179569997446,0.13470012300058443,0.1015625,2.304239235818386,3.852207267999802,0.09765625,2.301113598048687
0.1125,2.302136993408203,3.682497140000123,0.05344440699991537,mnist,0.09375,2.3042730167508125,0.08203125,2.3066110014915466,mpi_sync,lenet5,1,1,4.323854183001458,4.097920255000645,0.1015625,2.3047016113996506,4.323905847999413,0.09765625,2.3015064373612404
0.0875,2.3084506034851073,3.5444737330017233,0.17963650499950745,svhn,0.09375,2.3042730167508125,0.08203125,2.3066110014915466,mpi_sync,lenet5,2,1,4.323854183001458,4.097920255000645,0.1015625,2.3047016113996506,4.323905847999413,0.09765625,2.3015064373612404
0.05,2.3146541595458983,3.4482291270014684,0.18830895999963104,usps,0.09375,2.3042730167508125,0.08203125,2.3066110014915466,mpi_sync,lenet5,3,1,4.323854183001458,4.097920255000645,0.1015625,2.3047016113996506,4.323905847999413,0.09765625,2.3015064373612404
0.0875,2.2993867874145506,0.0009358150000480236,0.03150887999981933,mnist,0.09375,2.303783841431141,0.08203125,2.3059986904263496,mpi_sync,lenet5,1,2,0.26526765400012664,0.06856415000038396,0.1015625,2.304239235818386,4.589341956998396,0.09765625,2.301113598048687
0.05,2.3132386207580566,0.0010303960007149726,0.03217407499869296,svhn,0.09375,2.303783841431141,0.08203125,2.3059986904263496,mpi_sync,lenet5,2,2,0.26526765400012664,0.06856415000038396,0.1015625,2.304239235818386,4.589341956998396,0.09765625,2.301113598048687
0.0875,2.310116243362427,0.0017966729992622277,0.04324694100068882,usps,0.09375,2.303783841431141,0.08203125,2.3059986904263496,mpi_sync,lenet5,3,2,0.26526765400012664,0.06856415000038396,0.1015625,2.304239235818386,4.589341956998396,0.09765625,2.301113598048687
