client_acc,client_loss,communication_time,compute_time,domain,global_acc,global_loss,mnist_acc,mnist_loss,mode,model,rank,round,round_time,svhn_acc,svhn_loss,total_time,usps_acc,usps_loss
0.30171875,1.9398232436180114,0.00772494199918583,1.0290805500007991,usps,0.3675,3.4541987320582073,0.3345,2.434045654296875,mpi_async,lenet5,3,1,7.033646195000074,0.0735,6.990487045288086,7.033646195000074,0.6945,0.9380634965896606
0.2521875,2.2583791637420654,0.0059553270002652425,7.433922830000029,mnist,0.36766666666666664,2.1356223726272585,0.531,2.016578595161438,mpi_async,lenet5,1,1,11.092333488999884,0.0955,2.3811562404632567,11.092333488999884,0.4765,2.00913228225708
0.83234375,0.5102953396737575,0.0010712569983297726,0.9282911950012931,usps,0.48883333333333334,2.403575305779775,0.5035,1.7516445407867431,mpi_async,lenet5,3,2,23.611340991999896,0.1605,4.845322151184082,23.611340991999896,0.8025,0.6137592253684998
0.74,0.893469553142786,0.0023037429996293213,4.7124455050002325,mnist,0.5321666666666667,1.910130963563919,0.852,0.48851263213157653,mpi_async,lenet5,1,2,26.282668164999905,0.104,4.091581249237061,26.282668164999905,0.6405,1.15029900932312
0.9021875,0.2967102151736617,0.0014250029998947866,0.9212117700008093,usps,0.49833333333333335,2.400562166849772,0.454,2.1707526245117186,mpi_async,lenet5,3,3,35.82706230399981,0.1555,4.634893257141114,35.82706230399981,0.8855,0.3960406188964844
0.88921875,0.33577546700835226,0.0032415999999102496,4.779828325999915,mnist,0.5765,1.52839479581515,0.914,0.2729413607120514,mpi_async,lenet5,1,3,38.8592686410002,0.1115,3.379756071090698,38.8592686410002,0.704,0.9324869556427002
0.93734375,0.20295337613672018,0.013218041001891834,0.9423631529989507,usps,0.5321666666666667,2.4228027136325836,0.526,2.128872318267822,mpi_async,lenet5,3,4,44.787549723999746,0.1615,4.7782347297668455,44.787549723999746,0.909,0.3613010928630829
0.92828125,0.23455899611115455,0.005790690000139875,5.0600637490001645,mnist,0.5715,1.3553585934638976,0.936,0.2045514407157898,mpi_async,lenet5,1,4,47.26810224500014,0.1055,2.869634027481079,47.26810224500014,0.673,0.9918903121948243
0.949375,0.17206332754343748,0.0012298269994062139,0.914725864000502,usps,0.5076666666666667,2.328161182721456,0.4685,2.322144043922424,mpi_async,lenet5,3,5,53.99848984399978,0.149,4.308178936004639,53.99848984399978,0.9055,0.3541605682373047
0.94421875,0.17533608853816987,0.001921816000049148,4.738904466999884,mnist,0.5905,1.252493274887403,0.9545,0.1476955214738846,mpi_async,lenet5,1,5,56.50920460499992,0.123,2.6592679653167726,56.50920460499992,0.694,0.9505163378715515
0.95828125,0.127376021835953,0.0016379640001105145,0.9178016030000435,usps,0.511,2.2322315776348116,0.4415,2.935976463317871,mpi_async,lenet5,3,6,71.05207234399995,0.176,3.4699572219848633,71.05207234399995,0.9155,0.29076104760169985
0.95703125,0.14422167416661977,0.0022813079999650654,4.640533449000031,mnist,0.5973333333333334,1.2059293636480968,0.9545,0.14123825860023498,mpi_async,lenet5,1,6,74.52010918699989,0.1245,2.5528655529022215,74.52010918699989,0.713,0.9236842794418335
0.9678125,0.10113020362332463,0.0009784080011741025,0.9373866989990347,usps,0.5166666666666667,2.2506951566934585,0.48,2.2816681823730467,mpi_async,lenet5,3,7,89.87628890799988,0.138,4.218216358184814,89.87628890799988,0.932,0.2522009295225143
0.95875,0.13336721116676928,0.0021099699997648713,5.944550595000237,mnist,0.623,1.1323564214309056,0.9465,0.16243881380558015,mpi_async,lenet5,1,7,95.05659506699976,0.152,2.515304676055908,95.05659506699976,0.7705,0.7193257744312287
0.9728125,0.08915403883438558,0.005449811998914811,0.9391061360001913,usps,0.5168333333333334,2.2519445969661076,0.4695,2.4063996496200564,mpi_async,lenet5,3,8,112.67632549700011,0.148,4.115144842147827,112.67632549700011,0.933,0.23428929913043975
0.965,0.12149240196682513,0.01077416699990863,6.069338863000212,mnist,0.6256666666666667,1.1124919954538346,0.957,0.13637501394748688,mpi_async,lenet5,1,8,115.91295525099986,0.158,2.4092751636505128,115.91295525099986,0.762,0.7918258087635041
0.97703125,0.07594813152216374,0.0010072519999084761,0.9175902650003991,usps,0.5235,2.176872123281161,0.4695,2.4856249046325685,mpi_async,lenet5,3,9,124.7678855449999,0.1665,3.780538377761841,124.7678855449999,0.9345,0.2644530874490738
0.96671875,0.10198240613564849,0.027207807999729994,9.552767594000215,mnist,0.6136666666666667,1.1414106525381407,0.9495,0.14312425845861435,mpi_async,lenet5,1,9,128.42788421900013,0.1405,2.4672594470977782,128.42788421900013,0.751,0.8138482520580291
0.98,0.0661387715768069,0.0010218309980700724,0.9230239630014694,usps,0.539,2.474000607728958,0.532,2.1429665803909304,mpi_async,lenet5,3,10,141.12723442100014,0.1505,5.012021087646485,141.12723442100014,0.9345,0.26701415514945986
0.96921875,0.10366728803142905,0.0018451639994054858,7.2874363700002505,mnist,0.6473333333333333,1.0227276857495309,0.957,0.12661545103788377,mpi_async,lenet5,1,10,145.3219778849998,0.248,2.1123560466766356,145.3219778849998,0.737,0.8292115595340729
0.13109375,2.2958452105522156,0.0026912549983535428,0.6943181570004526,svhn,0.0835,2.2959252554575604,0.0695,2.3029420528411864,mpi_async,lenet5,2,10,274.9169763939999,0.141,2.2925858573913573,274.9169763939999,0.04,2.2922478561401367
0.5996875,1.3202303884597495,0.0010609199998725671,0.6182956840002589,svhn,0.08266666666666667,5.057952348709106,0.0975,6.250060495376587,mpi_async,lenet5,2,10,281.5119497300002,0.0825,4.238472030639649,281.5119497300002,0.068,4.685324520111084
1.0,0.0014905707142315804,0.001865999998699408,0.626476111001466,svhn,0.08016666666666666,5.349421885808309,0.0955,6.713140714645386,mpi_async,lenet5,2,10,287.70022819299993,0.084,4.406347965240479,287.70022819299993,0.061,4.928776977539062
1.0,0.0007755671453196555,0.002043978001893265,0.608451428999615,svhn,0.08016666666666666,5.574852139790853,0.096,7.011815620422364,mpi_async,lenet5,2,10,294.81644080800015,0.083,4.5855503768920896,294.81644080800015,0.0615,5.1271904220581055
