client_acc,client_loss,communication_time,compute_time,domain,global_acc,global_loss,mnist_acc,mnist_loss,mode,model,rank,round,round_time,server_communication_time,svhn_acc,svhn_loss,total_time,usps_acc,usps_loss
0.10625,2.3018337726593017,2.5625897600002645,0.268495812000765,mnist,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,1,1,3.828920535997895,3.547431906001293,0.1015625,2.3048890233039856,3.8289273680020415,0.09765625,2.3015922904014587
0.1125,2.2991597652435303,2.3731841949993395,0.2941647360003117,svhn,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,2,1,3.828920535997895,3.547431906001293,0.1015625,2.3048890233039856,3.8289273680020415,0.09765625,2.3015922904014587
0.09375,2.3071415424346924,1.9654493849993742,0.2839380940004048,usps,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,3,1,3.828920535997895,3.547431906001293,0.1015625,2.3048890233039856,3.8289273680020415,0.09765625,2.3015922904014587
0.103125,2.3012629985809325,0.003831280002486892,0.29305357100020046,mnist,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,1,2,1.178003502998763,0.8192710309995164,0.1015625,2.304631680250168,5.009744443999807,0.09765625,2.301270216703415
0.09375,2.30442099571228,0.001348777000202972,0.2134349910002129,svhn,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,2,2,1.178003502998763,0.8192710309995164,0.1015625,2.304631680250168,5.009744443999807,0.09765625,2.301270216703415
0.103125,2.306080770492554,0.0014509680004266556,0.19861447699986456,usps,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,3,2,1.178003502998763,0.8192710309995164,0.1015625,2.304631680250168,5.009744443999807,0.09765625,2.301270216703415
0.10625,2.3018337726593017,7.6115457220000735,0.8868814160000511,mnist,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,1,1,11.369276188999947,11.067948445999946,0.1015625,2.3048890233039856,11.369289504000108,0.09765625,2.3015922904014587
0.1125,2.2991597652435303,1.7206894750000856,0.2081378189999441,svhn,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,2,1,11.369276188999947,11.067948445999946,0.1015625,2.3048890233039856,11.369289504000108,0.09765625,2.3015922904014587
0.09375,2.3071415424346924,1.669247632000065,0.19709839199992985,usps,0.09375,2.30440483490626,0.08203125,2.306733191013336,mpi_sync,lenet5,3,1,11.369276188999947,11.067948445999946,0.1015625,2.3048890233039856,11.369289504000108,0.09765625,2.3015922904014587
0.103125,2.3012629985809325,0.0028656939998654707,0.22001410600000781,mnist,0.09375,2.304099917411804,0.08203125,2.30639785528183,mpi_sync,lenet5,1,2,5.737697361000073,5.423632216999977,0.1015625,2.304631680250168,17.10725297199997,0.09765625,2.301270216703415
